          (   4,    6) (   4,    3) (   4,    0) (   4,    6) (   4,    5) (   4,    5) (   4,    6) (   4,    3) (   4,    6) (   4,    5)
          (   4,    5) (   4,    9) (   4,    6) (   4,    1) (   4,    5) (   4,    6) (   4,    3) (   4,    3) (   4,    4) (   4,    4)
          (   4,    4) (   4,    9) (   4,    6) (   4,    4) (   4,    4) (   4,    1) (   4,    4) (   4,    1) (   4,    1) (   4,    6)
          (   4,    4) (   4,    4) (   4,    4) (   4,    0) (   4,    3) (   4,    4) (   4,    8) (   4,    5) (   4,    6) (   4,    3)
          (   4,    5) (   4,    4) (   4,    3) (   4,    5) (   4,    6) (   4,    5) (   4,    4) (   4,    4) (   4,    3) (   4,    5)
         
node   1 sent_total   2805  recv_total   2747

node   2  (   1,    0) (   0,    0) (   4,    3) (   4,    1) (   4,    5) (   4,    3) (   4,    3) (   4,    1) (   4,    6) (   4,    3)
          (   4,    6) (   4,    4) (   4,    5) (   4,    5) (   4,    4) (   4,    4) (   4,    7) (   4,    5) (   4,    3) (   4,    3)
          (   4,    3) (   4,    3) (   4,    6) (   4,    7) (   4,    5) (   4,    3) (   4,    3) (   4,    4) (   4,    6) (   4,    4)
          (   4,    3) (   4,    5) (   4,    1) (   4,    4) (   4,    7) (   4,    4) (   4,    4) (   4,    6) (   4,    4) (   4,    5)
          (   4,    4) (   4,    6) (   4,    5) (   4,    4) (   4,    3) (   4,    3) (   4,    3) (   4,    5) (   4,    2) (   4,    5)
          (   4,    5) (   4,    6) (   4,    2) (   4,    3) (   4,    3) (   4,    3) (   4,    5) (   4,    5) (   4,    4) (   4,    5)
          (   4,    4) (   4,    2) (   4,    1) (   4,    5) (   4,    5) (   4,    5) (   4,    2) (   4,    3) (   4,    4) (   4,    4)
          (   4,    4) (   4,    2) (   4,    1) (   4,    5) (   4,    2) (   4,    3) (   4,    5) (   4,    3) (   4,    5) (   4,    3)
          (   4,    4) (   4,    6) (   4,    5) (   4,    5) (   4,    3) (   4,    3) (   4,    4) (   4,    2) (   4,    2) (   4,    3)
          (   4,    6) (   4,    6) (   4,    4) (   4,    3) (   4,    5) (   4,    5) (   4,    5) (   4,    4) (   4,    4) (   4,    5)
          (   4,    5) (   4,    3) (   4,    4) (   4,    8) (   4,    1) (   4,    3) (   4,    5) (   4,    5) (   4,    6) (   4,    5)
          (   4,    3) (   4,   11) (   4,    4) (   4,    3) (   4,    2) (   4,    7) (   4,    3) (   4,    4) (   4,    2) (   4,    3)
          (   4,    5) (   4,    2) (   4,    7) (   4,    5) (   4,    3) (   4,    2) (   4,    4) (   4,    5) (   4,    1) (   4,    4)
          (   4,    4) (   4,    2) (   4,    6) (   4,    2) (   4,    4) (   4,    4) (   4,    2) (   4,    1) (   4,    2) (   4,    7)
          (   4,    5) (   4,    6) (   4,    3) (   4,    3) (   4,    3) (   4,    7) (   4,    4) (   4,    1) (   4,    3) (   4,    1)
          (   4,    4) (   4,    4) (   4,    4) (   4,    5) (   4,    2) (   4,    4) (   4,    7) (   4,    5) (   4,    4) (   4,    7)
          (   4,    4) (   4,    0) (   4,    5) (   4,    5) (   4,    6) (   4,    2) (   4,    4) (   4,    2) (   4,    5) (   4,    3)
          (   4,    4) (   4,    7) (   4,    8) (   4,    4) (   4,    5) (   4,    3) (   4,    3) (   4,    4) (   4,    5) (   4,    2)
          (   4,    5) (   4,    4) (   4,    5) (   4,    2) (   4,    4) (   4,    2) (   4,    4) (   4,    0) (   4,    7) (   4,    0)
          (   4,    6) (   4,    9) (   4,    3) (   4,    4) (   4,    6) (   4,    0) (   4,    1) (   4,    3) (   4,    5) (   4,    2)
          (   4,    1) (   4,    5) (   4,    4) (   4,    3) (   4,    1) (   4,    6) (   4,    4) (   4,    1) (   4,    6) (   4,    5)
          (   4,    3) (   4,    5) (   4,    5) (   4,    5) (   4,    6) (   4,    4) (   4,    6) (   4,    3) (   4,    1) (   4,    4)
          (   4,    3) (   4,    1) (   4,    4) (   4,    3) (   4,    7) (   4,    6) (   4,    5) (   4,    6) (   4,    3) (   4,    6)
          (   4,    8) (   4,    1) (   4,    3) (   4,    3) (   4,    4) (   4,    6) (   4,    7) (   4,    6) (   4,    3) (   4,    6)
          (   4,    4) (   4,    6) (   4,    5) (   4,    5) (   4,    7) (   4,    2) (   4,    8) (   4,    4) (   4,    3) (   4,    2)
          (   4,    3) (   4,    3) (   4,    6) (   4,    3) (   4,    7) (   4,    5) (   4,    4) (   4,    3) (   4,    2) (   4,    0)
